spelling,count,suggested_correction,correction_count,edit_distance,looks_polish,locations
manum,2,Panem,3,2,False,0054.JPG.parsed.txt:5; 0064.JPG.parsed.txt:24
movet,1,more,3,2,False,0054.JPG.parsed.txt:6
Registro,1,Magistro,3,2,False,0054.JPG.parsed.txt:7
norem,1,more,3,2,False,0054.JPG.parsed.txt:8
uata,1,data,3,1,False,0054.JPG.parsed.txt:9
sexta,2,sexto,3,1,False,0054.JPG.parsed.txt:14; 0057.JPG.parsed.txt:2
Bigosowa,1,Bigossowa,3,1,False,0054.JPG.parsed.txt:22
filius,2,illius,3,2,False,0054.JPG.parsed.txt:29; 0061.JPG.parsed.txt:30
certam,1,certa,3,1,False,0054.JPG.parsed.txt:31
Bigosowska,1,Bigossowa,3,3,False,0054.JPG.parsed.txt:32
Bigo,1,iego,3,2,False,0055.JPG.parsed.txt:7
omni,2,omne,3,1,False,0055.JPG.parsed.txt:10; 0058.JPG.parsed.txt:20
minio,1,misit,3,2,False,0055.JPG.parsed.txt:11
potuit,1,Petiit,3,2,False,0055.JPG.parsed.txt:17
crediti,1,Creditor,3,2,False,0055.JPG.parsed.txt:20
quovis,1,quos,3,2,False,0055.JPG.parsed.txt:20
priis,1,Wrais,3,2,False,0055.JPG.parsed.txt:24
memoratae,2,memorata,3,1,False,0055.JPG.parsed.txt:25; 0060.JPG.parsed.txt:11
ordinavit,1,Ordinarii,3,2,False,0055.JPG.parsed.txt:28
inde,1,ideo,3,2,False,0055.JPG.parsed.txt:28
Simo,1,xima,3,2,False,0055.JPG.parsed.txt:29
rato,2,rata,3,1,False,0055.JPG.parsed.txt:32; 0058.JPG.parsed.txt:30
Bygossowa,1,Bigossowa,3,1,False,0056.JPG.parsed.txt:2
Lanium,1,Lanii,3,2,False,0056.JPG.parsed.txt:4
Bygossowska,1,Bigossowa,3,3,False,0056.JPG.parsed.txt:8
Nicolao,2,Nicolai,3,1,False,0056.JPG.parsed.txt:9; 0056.JPG.parsed.txt:22
quisita,1,quinta,3,2,False,0056.JPG.parsed.txt:23
intromissione,1,intromissionem,3,1,False,0056.JPG.parsed.txt:23
tota,1,toto,3,1,False,0056.JPG.parsed.txt:25
habens,2,habeat,3,2,False,0056.JPG.parsed.txt:34; 0061.JPG.parsed.txt:30
millium,1,illius,3,2,False,0056.JPG.parsed.txt:37
quantumcunque,1,quandocunque,3,3,False,0057.JPG.parsed.txt:4
qualecunque,1,quandocunque,3,3,False,0057.JPG.parsed.txt:4
supradictam,1,praedictam,3,3,False,0057.JPG.parsed.txt:13
nislaum,1,Nicolaum,3,2,False,0057.JPG.parsed.txt:15
Andream,1,Andreas,3,1,False,0057.JPG.parsed.txt:16
fieri,2,veri,3,2,False,0057.JPG.parsed.txt:17; 0059.JPG.parsed.txt:37
Dictus,1,dicti,3,2,False,0057.JPG.parsed.txt:21
ipsum,1,ipso,3,2,False,0057.JPG.parsed.txt:24
datus,1,data,3,2,False,0057.JPG.parsed.txt:37
praesentibusque,1,praesentibus,3,3,False,0058.JPG.parsed.txt:10
trans,1,Wrais,3,2,False,0058.JPG.parsed.txt:10
cedere,1,debere,3,2,False,0058.JPG.parsed.txt:11
Hippo,1,ipso,3,2,False,0058.JPG.parsed.txt:15
quando,1,quinto,3,2,False,0058.JPG.parsed.txt:29
cunque,1,quinque,3,2,False,0058.JPG.parsed.txt:30
grato,1,rata,3,2,False,0058.JPG.parsed.txt:31
aliati,1,alias,3,2,False,0059.JPG.parsed.txt:5
vocatus,1,Advocatus,3,2,False,0059.JPG.parsed.txt:9
Scabinis,1,Scabinum,3,2,False,0059.JPG.parsed.txt:13
Jeratis,1,Jurati,3,2,False,0059.JPG.parsed.txt:13
aediit,1,Petiit,3,2,False,0059.JPG.parsed.txt:14
verbis,1,veri,3,2,False,0059.JPG.parsed.txt:18
Testamentorum,2,Testamentum,3,2,False,0059.JPG.parsed.txt:19; 0061.JPG.parsed.txt:1
magna,2,Anna,3,2,False,0059.JPG.parsed.txt:26; 0061.JPG.parsed.txt:26
maiore,1,more,3,2,False,0059.JPG.parsed.txt:29
filia,2,illa,3,2,False,0059.JPG.parsed.txt:30; 0060.JPG.parsed.txt:9
praemissa,1,praemisso,3,1,False,0059.JPG.parsed.txt:32
morti,1,more,3,2,False,0059.JPG.parsed.txt:38
certius,1,certi,3,2,False,0059.JPG.parsed.txt:38
praesertim,1,praesenti,3,2,False,0060.JPG.parsed.txt:7
morbo,1,more,3,2,False,0060.JPG.parsed.txt:9
morte,1,more,3,1,False,0060.JPG.parsed.txt:16
refusionem,1,relationem,3,3,False,0060.JPG.parsed.txt:25
penes,2,Panem,3,2,False,0060.JPG.parsed.txt:27; 0068.JPG.parsed.txt:37
dole,1,more,3,2,False,0060.JPG.parsed.txt:28
izbka,1,izby,3,2,False,0060.JPG.parsed.txt:29
gurze,1,gorze,3,1,True,0060.JPG.parsed.txt:29
guoze,1,gorze,3,2,False,0060.JPG.parsed.txt:30
komora,1,ktora,3,2,False,0060.JPG.parsed.txt:30
succesores,1,successores,3,1,False,0060.JPG.parsed.txt:32
ipsos,1,ipso,3,1,False,0060.JPG.parsed.txt:38
rege,1,iego,3,2,False,0060.JPG.parsed.txt:38
sentia,1,tertia,3,2,False,0060.JPG.parsed.txt:39
Dati,1,data,3,1,False,0060.JPG.parsed.txt:39
expressa,1,expressum,3,2,False,0060.JPG.parsed.txt:41
exomne,1,omne,3,2,False,0060.JPG.parsed.txt:41
vlla,1,illa,3,1,False,0060.JPG.parsed.txt:42
relaxatione,1,relationem,3,3,False,0060.JPG.parsed.txt:42
revocatione,1,evictione,3,3,False,0060.JPG.parsed.txt:42
quorum,1,suorum,3,1,False,0060.JPG.parsed.txt:43
appressum,1,expressum,3,2,False,0060.JPG.parsed.txt:44
inserta,2,inseri,3,2,False,0061.JPG.parsed.txt:2; 0066.JPG.parsed.txt:21
gratam,1,rata,3,2,False,0061.JPG.parsed.txt:9
Jurad,1,quoad,3,2,False,0061.JPG.parsed.txt:12
legati,1,legatum,3,2,False,0061.JPG.parsed.txt:15
petijt,1,Petiit,3,1,False,0061.JPG.parsed.txt:15
Jurat,1,Jurati,3,1,False,0061.JPG.parsed.txt:20
nostram,1,nostrum,3,1,False,0061.JPG.parsed.txt:25
Praedicator,1,praedicto,3,2,False,0061.JPG.parsed.txt:28
Honestorum,1,Honestam,3,3,False,0061.JPG.parsed.txt:29
Annae,2,Anna,3,1,False,0061.JPG.parsed.txt:29; 0067.JPG.parsed.txt:5
Patre,1,ratae,3,2,False,0061.JPG.parsed.txt:31
Ministro,1,Magistro,3,2,False,0061.JPG.parsed.txt:31
tentia,1,tertia,3,1,False,0061.JPG.parsed.txt:34
rogatum,1,legatum,3,2,False,0061.JPG.parsed.txt:36
religionem,1,relationem,3,2,False,0061.JPG.parsed.txt:40
animi,1,nami,3,2,False,0062.JPG.parsed.txt:4
motu,1,more,3,2,False,0062.JPG.parsed.txt:5
successiones,1,successores,3,2,False,0062.JPG.parsed.txt:8
quascunque,2,quandocunque,3,3,False,0062.JPG.parsed.txt:9; 0062.JPG.parsed.txt:13
fatam,1,data,3,2,False,0062.JPG.parsed.txt:11
cessit,1,esset,3,2,False,0062.JPG.parsed.txt:16
memorato,1,memorata,3,1,False,0062.JPG.parsed.txt:17
ipsa,1,ipso,3,1,False,0062.JPG.parsed.txt:22
quouis,1,quos,3,2,False,0062.JPG.parsed.txt:23
fide,2,fidem,3,1,False,0062.JPG.parsed.txt:24; 0063.JPG.parsed.txt:5
probationis,2,donationis,3,3,False,0062.JPG.parsed.txt:33; 0062.JPG.parsed.txt:35
magistri,1,Magistro,3,1,False,0062.JPG.parsed.txt:36
alienationem,1,quietationem,3,3,False,0062.JPG.parsed.txt:40
dictae,1,dicta,3,1,False,0063.JPG.parsed.txt:1
ille,1,illa,3,1,False,0063.JPG.parsed.txt:2
quoque,1,quinque,3,2,False,0063.JPG.parsed.txt:3
habeant,1,habeat,3,1,False,0063.JPG.parsed.txt:5
Promittentes,1,Promittens,3,2,False,0063.JPG.parsed.txt:17
rati,1,rata,3,1,False,0063.JPG.parsed.txt:17
muros,1,quos,3,2,False,0063.JPG.parsed.txt:31
moiu,1,more,3,2,False,0063.JPG.parsed.txt:33
moru,1,more,3,1,False,0064.JPG.parsed.txt:2
egressum,1,expressum,3,2,False,0064.JPG.parsed.txt:21
levem,1,Civem,3,2,False,0064.JPG.parsed.txt:25
forte,1,more,3,2,False,0064.JPG.parsed.txt:26
illi,2,illa,3,1,False,0064.JPG.parsed.txt:27; 0066.JPG.parsed.txt:28
lemniter,1,solemniter,3,2,False,0064.JPG.parsed.txt:33
ficio,1,facto,3,2,False,0065.JPG.parsed.txt:4
villa,1,illa,3,1,False,0065.JPG.parsed.txt:5
gillo,1,illa,3,2,False,0065.JPG.parsed.txt:7
natam,1,data,3,2,False,0065.JPG.parsed.txt:8
praedictum,1,praedictam,3,1,False,0065.JPG.parsed.txt:13
Leopoliensum,1,Leopoliensem,3,1,False,0065.JPG.parsed.txt:13
collatam,1,Collegam,3,2,False,0065.JPG.parsed.txt:14
ritatis,1,citatus,3,2,False,0065.JPG.parsed.txt:15
legi,1,veri,3,2,False,0065.JPG.parsed.txt:15
petitionem,1,relationem,3,3,False,0065.JPG.parsed.txt:17
Stanisław,2,Stanislao,3,2,True,0065.JPG.parsed.txt:26; 0066.JPG.parsed.txt:10
Panu,1,Panem,3,2,False,0065.JPG.parsed.txt:27
dłog,1,Dług,3,1,True,0065.JPG.parsed.txt:28
potym,2,potom,3,1,False,0065.JPG.parsed.txt:29; 0066.JPG.parsed.txt:9
kowie,1,sobie,3,2,False,0065.JPG.parsed.txt:32
dana,1,data,3,1,False,0065.JPG.parsed.txt:38
dzie,2,będzie,3,2,True,0065.JPG.parsed.txt:38; 0066.JPG.parsed.txt:13
Radą,1,rata,3,2,True,0066.JPG.parsed.txt:2
nego,1,iego,3,1,False,0066.JPG.parsed.txt:4
Stanisława,1,Stanislao,3,3,True,0066.JPG.parsed.txt:4
według,1,Dług,3,2,True,0066.JPG.parsed.txt:5
niego,1,iego,3,1,False,0066.JPG.parsed.txt:5
danej,1,Panem,3,2,False,0066.JPG.parsed.txt:5
Brata,1,rata,3,1,False,0066.JPG.parsed.txt:7
gdzie,1,będzie,3,2,True,0066.JPG.parsed.txt:9
czym,1,czas,3,2,True,0066.JPG.parsed.txt:15
Paweł,1,Panem,3,2,True,0066.JPG.parsed.txt:16
Szembel,1,semel,3,2,True,0066.JPG.parsed.txt:16
