spelling,count,suggested_correction,correction_count,edit_distance,looks_polish,locations
moim,1,olim,33,2,False,0005.JPG.parsed.txt:34
alem,1,olim,33,2,False,0064.JPG.parsed.txt:9
Dominis,1,DOMINI,31,1,False,0060.JPG.parsed.txt:14
Leopolienses,2,LEOPOLIENSIS,30,1,False,0005.JPG.parsed.txt:11; 0063.JPG.parsed.txt:31
Tarnopoliensis,1,LEOPOLIENSIS,30,4,False,0007.JPG.parsed.txt:13
Leopoliensibus,1,LEOPOLIENSIS,30,2,False,0053.JPG.parsed.txt:9
albo,2,ANNO,27,2,False,0006.JPG.parsed.txt:11; 0066.JPG.parsed.txt:9
meum,2,suum,27,2,False,0006.JPG.parsed.txt:32; 0061.JPG.parsed.txt:37
trum,1,suum,27,2,False,0006.JPG.parsed.txt:38
phum,1,suum,27,2,False,0054.JPG.parsed.txt:3
annos,2,ANNO,27,1,False,0054.JPG.parsed.txt:29; 0064.JPG.parsed.txt:20
Banni,1,ANNO,27,2,False,0055.JPG.parsed.txt:30
uando,1,ANNO,27,2,False,0057.JPG.parsed.txt:12
sumus,1,suum,27,2,False,0057.JPG.parsed.txt:27
annis,1,ANNO,27,2,False,0060.JPG.parsed.txt:9
ambo,2,ANNO,27,2,False,0060.JPG.parsed.txt:24; 0063.JPG.parsed.txt:6
anni,1,ANNO,27,1,False,0062.JPG.parsed.txt:35
magno,2,ANNO,27,2,False,0063.JPG.parsed.txt:1; 0064.JPG.parsed.txt:31
damno,1,ANNO,27,2,False,0064.JPG.parsed.txt:31
Slno,1,ANNO,27,2,False,0066.JPG.parsed.txt:39
sinum,1,suum,27,2,False,0067.JPG.parsed.txt:16
LIBRI,1,sibi,22,2,False,0004.JPG.parsed.txt:5
swoi,1,sibi,22,2,False,0006.JPG.parsed.txt:1
mihi,1,sibi,22,2,False,0051.JPG.parsed.txt:11
sint,2,sibi,22,2,False,0056.JPG.parsed.txt:12; 0063.JPG.parsed.txt:5
liti,1,sibi,22,2,False,0058.JPG.parsed.txt:16
Scabi,1,sibi,22,2,False,0059.JPG.parsed.txt:3
subsi,1,sibi,22,2,False,0065.JPG.parsed.txt:6
stoi,1,sibi,22,2,False,0066.JPG.parsed.txt:35
Szpi,1,sibi,22,2,True,0069.JPG.parsed.txt:14
famatis,2,Famati,20,1,False,0049.JPG.parsed.txt:22; 0059.JPG.parsed.txt:13
Famato,2,Famati,20,1,False,0050.JPG.parsed.txt:22; 0050.JPG.parsed.txt:26
Famuli,2,Famati,20,2,False,0052.JPG.parsed.txt:35; 0066.JPG.parsed.txt:25
factum,1,Actum,20,1,False,0060.JPG.parsed.txt:39
dictum,2,Actum,20,2,False,0062.JPG.parsed.txt:20; 0063.JPG.parsed.txt:19
Civi,2,Civis,19,1,False,0049.JPG.parsed.txt:2; 0050.JPG.parsed.txt:22
Civili,1,Civis,19,2,False,0051.JPG.parsed.txt:24
Civita,1,Civis,19,2,False,0052.JPG.parsed.txt:35
Civium,1,Civis,19,2,False,0054.JPG.parsed.txt:29
pala,2,palam,19,1,False,0056.JPG.parsed.txt:33; 0065.JPG.parsed.txt:10
Civilis,1,Civis,19,2,False,0057.JPG.parsed.txt:22
privis,1,Civis,19,2,False,0060.JPG.parsed.txt:3
quivis,1,Civis,19,2,False,0060.JPG.parsed.txt:27
cinis,1,Civis,19,1,False,0067.JPG.parsed.txt:13
Officioze,1,OFFICIO,17,2,False,0066.JPG.parsed.txt:27
officiose,1,OFFICIO,17,2,False,0067.JPG.parsed.txt:32
neficio,1,OFFICIO,17,2,False,0068.JPG.parsed.txt:18
eisdem,1,eidem,16,1,False,0007.JPG.parsed.txt:29
ferentorum,1,florenorum,16,3,False,0053.JPG.parsed.txt:11
wtey,1,item,15,2,False,0006.JPG.parsed.txt:2
wtym,2,item,15,2,False,0006.JPG.parsed.txt:5; 0006.JPG.parsed.txt:6
vase,2,esse,15,2,False,0007.JPG.parsed.txt:5; 0007.JPG.parsed.txt:6
emisse,1,esse,15,2,False,0007.JPG.parsed.txt:10
sese,2,esse,15,2,False,0007.JPG.parsed.txt:14; 0058.JPG.parsed.txt:25
iisdem,2,idem,15,2,False,0050.JPG.parsed.txt:23; 0057.JPG.parsed.txt:1
situm,2,item,15,2,False,0052.JPG.parsed.txt:5; 0052.JPG.parsed.txt:7
ijsdem,1,idem,15,2,False,0052.JPG.parsed.txt:20
cesse,1,esse,15,1,False,0055.JPG.parsed.txt:25
Eysse,1,esse,15,1,False,0060.JPG.parsed.txt:29
suma,1,summa,15,1,False,0060.JPG.parsed.txt:34
gdym,1,idem,15,2,False,0064.JPG.parsed.txt:3
wiem,1,item,15,2,False,0064.JPG.parsed.txt:10
lites,1,item,15,2,False,0064.JPG.parsed.txt:25
comparere,1,Comparens,15,2,False,0064.JPG.parsed.txt:30
iemu,1,item,15,2,False,0065.JPG.parsed.txt:37
grem,1,item,15,2,False,0066.JPG.parsed.txt:3
teste,2,esse,15,2,False,0066.JPG.parsed.txt:37; 0067.JPG.parsed.txt:17
diem,1,item,15,2,False,0067.JPG.parsed.txt:15
Comparans,1,Comparens,15,1,False,0067.JPG.parsed.txt:25
chorym,1,CORAM,14,2,False,0005.JPG.parsed.txt:26
ctorem,1,CORAM,14,2,False,0054.JPG.parsed.txt:7
portam,1,CORAM,14,2,False,0054.JPG.parsed.txt:33
Abis,1,suis,14,2,False,0056.JPG.parsed.txt:9
stulam,1,suam,14,2,False,0057.JPG.parsed.txt:23
ssis,1,suis,14,1,False,0059.JPG.parsed.txt:18
satis,1,suis,14,2,False,0060.JPG.parsed.txt:8
assis,1,suis,14,2,False,0061.JPG.parsed.txt:33
suas,1,suam,14,1,False,0063.JPG.parsed.txt:6
clam,1,suam,14,2,False,0064.JPG.parsed.txt:23
saluam,1,suam,14,2,False,0065.JPG.parsed.txt:16
samo,1,suam,14,2,False,0066.JPG.parsed.txt:32
sadm,1,suam,14,2,False,0069.JPG.parsed.txt:32
posse,2,post,13,2,False,0005.JPG.parsed.txt:17; 0061.JPG.parsed.txt:10
poki,1,post,13,2,False,0006.JPG.parsed.txt:6
actorem,2,tutorem,13,2,False,0007.JPG.parsed.txt:1; 0054.JPG.parsed.txt:1
potest,1,post,13,2,False,0050.JPG.parsed.txt:29
Heliam,1,etiam,13,2,False,0054.JPG.parsed.txt:1
natorem,1,tutorem,13,2,False,0064.JPG.parsed.txt:20
tiam,1,etiam,13,1,False,0065.JPG.parsed.txt:10
prout,1,post,13,2,False,0068.JPG.parsed.txt:9
Leopolita,2,Leopoli,12,2,False,0003.JPG.parsed.txt:10; 0067.JPG.parsed.txt:3
CIVITATE,1,Civitatis,12,2,False,0004.JPG.parsed.txt:4
Leopoliensium,2,LEOPOLIENSI,12,2,False,0006.JPG.parsed.txt:16; 0054.JPG.parsed.txt:29
media,1,feria,12,2,False,0007.JPG.parsed.txt:5
Quas,2,Quam,12,1,False,0049.JPG.parsed.txt:3; 0064.JPG.parsed.txt:29
debitum,1,debiti,12,2,False,0049.JPG.parsed.txt:15
quem,1,Quam,12,1,False,0051.JPG.parsed.txt:10
actio,1,Actis,12,1,False,0051.JPG.parsed.txt:23
debite,1,debiti,12,1,False,0053.JPG.parsed.txt:13
Feren,1,feria,12,2,False,0053.JPG.parsed.txt:16
Actoris,1,Actis,12,2,False,0053.JPG.parsed.txt:18
Helia,1,feria,12,2,False,0053.JPG.parsed.txt:36
dantis,1,Actis,12,2,False,0055.JPG.parsed.txt:7
forma,2,feria,12,2,False,0056.JPG.parsed.txt:27; 0063.JPG.parsed.txt:17
Ciuitatis,1,Civitatis,12,1,False,0058.JPG.parsed.txt:28
quodam,1,Quam,12,2,False,0059.JPG.parsed.txt:8
quemam,1,Quam,12,2,False,0061.JPG.parsed.txt:10
Leopolitani,1,LEOPOLIENSI,12,3,False,0061.JPG.parsed.txt:34
Civitatem,1,Civitatis,12,2,False,0062.JPG.parsed.txt:10
fatis,1,Actis,12,2,False,0064.JPG.parsed.txt:38
Leopo,2,Leopoli,12,2,False,0066.JPG.parsed.txt:23; 0066.JPG.parsed.txt:24
legiti,1,debiti,12,2,False,0067.JPG.parsed.txt:5
actibus,1,Actis,12,2,False,0068.JPG.parsed.txt:10
tiis,1,eius,11,2,False,0049.JPG.parsed.txt:30
sexus,1,eius,11,2,False,0049.JPG.parsed.txt:36
oraque,1,itaque,11,2,False,0050.JPG.parsed.txt:12
euntes,1,eundem,11,2,False,0051.JPG.parsed.txt:38
ties,1,eius,11,2,False,0055.JPG.parsed.txt:23
undem,1,eundem,11,1,False,0057.JPG.parsed.txt:9
Regius,1,eius,11,2,False,0057.JPG.parsed.txt:21
rebus,1,eius,11,2,False,0060.JPG.parsed.txt:7
secus,1,eius,11,2,False,0060.JPG.parsed.txt:9
utraque,1,itaque,11,2,False,0060.JPG.parsed.txt:28
Fueri,1,fuerit,11,1,False,0060.JPG.parsed.txt:34
Ciui,1,eius,11,2,False,0061.JPG.parsed.txt:29
rium,1,eius,11,2,False,0061.JPG.parsed.txt:32
Eras,1,eius,11,2,False,0062.JPG.parsed.txt:17
fuerat,2,fuerit,11,1,False,0062.JPG.parsed.txt:19; 0065.JPG.parsed.txt:18
dium,1,eius,11,2,False,0062.JPG.parsed.txt:35
eues,1,eius,11,2,False,0063.JPG.parsed.txt:3
sepius,1,eius,11,2,False,0064.JPG.parsed.txt:23
vtraque,1,itaque,11,2,False,0068.JPG.parsed.txt:22
Quin,1,Quia,10,1,False,0005.JPG.parsed.txt:3
quid,1,Quia,10,1,False,0050.JPG.parsed.txt:4
perpetuis,2,perpetuo,10,2,False,0055.JPG.parsed.txt:9; 0057.JPG.parsed.txt:9
endum,1,eodem,10,2,False,0055.JPG.parsed.txt:14
ususque,1,eiusque,10,2,False,0055.JPG.parsed.txt:14
perpetuam,2,perpetuo,10,2,False,0055.JPG.parsed.txt:15; 0058.JPG.parsed.txt:24
cunia,1,Quia,10,2,False,0056.JPG.parsed.txt:12
perpetuum,1,perpetuo,10,2,False,0057.JPG.parsed.txt:13
fuit,2,Quia,10,2,False,0059.JPG.parsed.txt:20; 0062.JPG.parsed.txt:35
multa,1,iuxta,10,2,False,0059.JPG.parsed.txt:31
minusque,1,eiusque,10,2,False,0061.JPG.parsed.txt:12
atquidem,1,quidem,10,2,False,0061.JPG.parsed.txt:30
cura,1,Quia,10,2,False,0062.JPG.parsed.txt:18
auiae,1,Quia,10,2,False,0062.JPG.parsed.txt:21
iuxtam,1,iuxta,10,1,False,0062.JPG.parsed.txt:25
Iasies,1,ipsius,10,2,False,0065.JPG.parsed.txt:35
Curia,1,Quia,10,2,False,0066.JPG.parsed.txt:19
istius,1,ipsius,10,2,False,0068.JPG.parsed.txt:37
serio,1,vero,9,2,False,0006.JPG.parsed.txt:27
memo,2,vero,9,2,False,0051.JPG.parsed.txt:7; 0052.JPG.parsed.txt:13
fatus,1,Famatus,9,2,False,0051.JPG.parsed.txt:10
vere,1,vero,9,1,False,0051.JPG.parsed.txt:37
iuribus,1,iuris,9,2,False,0052.JPG.parsed.txt:18
infrascriptionum,1,inscriptionem,9,4,False,0053.JPG.parsed.txt:25
bere,2,vero,9,2,False,0053.JPG.parsed.txt:34; 0061.JPG.parsed.txt:14
Praefatae,2,praefata,9,1,False,0055.JPG.parsed.txt:26; 0067.JPG.parsed.txt:34
verum,2,vero,9,2,False,0055.JPG.parsed.txt:28; 0063.JPG.parsed.txt:15
tyris,1,iuris,9,2,False,0057.JPG.parsed.txt:3
Inscriptionemque,2,inscriptionem,9,3,False,0057.JPG.parsed.txt:13; 0067.JPG.parsed.txt:35
Honora,1,contra,9,2,False,0057.JPG.parsed.txt:19
Reco,1,vero,9,2,False,0058.JPG.parsed.txt:16
retro,1,vero,9,2,False,0059.JPG.parsed.txt:27
coro,1,vero,9,2,False,0061.JPG.parsed.txt:1
contradi,1,contra,9,2,False,0061.JPG.parsed.txt:16
fere,1,vero,9,2,False,0062.JPG.parsed.txt:2
tandem,1,eandem,9,1,False,0062.JPG.parsed.txt:20
vera,2,vero,9,1,False,0063.JPG.parsed.txt:5; 0068.JPG.parsed.txt:31
verba,1,vero,9,2,False,0064.JPG.parsed.txt:2
foro,1,vero,9,2,False,0064.JPG.parsed.txt:21
inscriptione,1,inscriptionem,9,1,False,0066.JPG.parsed.txt:20
vltro,1,vero,9,2,False,0068.JPG.parsed.txt:23
Honesto,2,Honesta,8,1,False,0007.JPG.parsed.txt:30; 0051.JPG.parsed.txt:21
Honestus,1,Honesta,8,2,False,0054.JPG.parsed.txt:27
testem,1,festum,8,2,False,0061.JPG.parsed.txt:35
sancte,1,Sancti,8,1,False,0062.JPG.parsed.txt:19
sancta,1,Sancti,8,1,False,0063.JPG.parsed.txt:7
ipsis,2,ipsi,7,1,False,0005.JPG.parsed.txt:18; 0059.JPG.parsed.txt:16
prawa,1,prae,7,2,False,0005.JPG.parsed.txt:33
Przyia,1,Przy,7,2,True,0005.JPG.parsed.txt:33
dobr,1,domo,7,2,False,0006.JPG.parsed.txt:2
brać,1,prae,7,2,True,0006.JPG.parsed.txt:8
temporis,2,tempore,7,2,False,0006.JPG.parsed.txt:20; 0050.JPG.parsed.txt:10
benevolique,1,benevoleque,7,1,False,0050.JPG.parsed.txt:18
iusti,1,ipsi,7,2,False,0050.JPG.parsed.txt:19
persona,1,personam,7,1,False,0051.JPG.parsed.txt:8
praetextam,1,praefatam,7,3,False,0051.JPG.parsed.txt:27
Jaco,2,iako,7,2,False,0051.JPG.parsed.txt:34; 0053.JPG.parsed.txt:27
praefatum,2,praefatam,7,1,False,0052.JPG.parsed.txt:8; 0057.JPG.parsed.txt:10
Pater,1,inter,7,2,False,0053.JPG.parsed.txt:5
Laiko,1,iako,7,2,False,0054.JPG.parsed.txt:1
primae,1,prae,7,2,False,0056.JPG.parsed.txt:18
Famatam,1,Famatum,7,1,False,0057.JPG.parsed.txt:38
verae,1,prae,7,2,False,0059.JPG.parsed.txt:6
Adamo,1,domo,7,2,False,0059.JPG.parsed.txt:34
water,1,inter,7,2,False,0060.JPG.parsed.txt:31
maio,1,iako,7,2,False,0061.JPG.parsed.txt:9
personas,1,personam,7,1,False,0062.JPG.parsed.txt:13
dono,1,domo,7,1,False,0062.JPG.parsed.txt:15
tempora,1,tempore,7,1,False,0063.JPG.parsed.txt:2
ramo,1,iako,7,2,False,0063.JPG.parsed.txt:13
Fran,1,prae,7,2,False,0064.JPG.parsed.txt:6
prawi,1,prae,7,2,False,0066.JPG.parsed.txt:11
cognouit,1,recognouit,7,2,False,0067.JPG.parsed.txt:10
prawie,1,prae,7,2,False,0069.JPG.parsed.txt:24
trzem,1,przed,7,2,True,0069.JPG.parsed.txt:37
prziet,1,przed,7,2,True,0069.JPG.parsed.txt:38
Comparontes,1,Comparentes,6,1,False,0005.JPG.parsed.txt:7
moiej,1,moiey,6,1,False,0005.JPG.parsed.txt:29
mocney,1,moiey,6,2,False,0006.JPG.parsed.txt:4
woley,1,moiey,6,2,False,0006.JPG.parsed.txt:12
żony,1,bona,6,2,True,0006.JPG.parsed.txt:14
testamento,1,TESTAMENTI,6,1,False,0006.JPG.parsed.txt:30
pecuniarij,1,pecuniae,6,3,False,0007.JPG.parsed.txt:2
cuniae,1,pecuniae,6,2,False,0007.JPG.parsed.txt:28
inscriptio,1,inscripsit,6,2,False,0007.JPG.parsed.txt:32
iamque,1,atque,6,2,False,0007.JPG.parsed.txt:33
florenum,1,Florenos,6,2,False,0049.JPG.parsed.txt:1
Polonicis,1,Polonicalis,6,2,False,0049.JPG.parsed.txt:2
pecunia,1,pecuniae,6,1,False,0049.JPG.parsed.txt:5
vice,1,sive,6,2,False,0049.JPG.parsed.txt:15
bene,2,bona,6,2,False,0049.JPG.parsed.txt:24; 0060.JPG.parsed.txt:12
neque,2,atque,6,2,False,0049.JPG.parsed.txt:26; 0060.JPG.parsed.txt:10
stante,1,ante,6,2,False,0049.JPG.parsed.txt:31
praefatus,1,praefato,6,2,False,0049.JPG.parsed.txt:33
totius,1,totum,6,2,False,0049.JPG.parsed.txt:37
tuitores,1,Tutore,6,2,False,0049.JPG.parsed.txt:38
siue,1,sive,6,1,False,0050.JPG.parsed.txt:6
scripsit,1,inscripsit,6,2,False,0050.JPG.parsed.txt:8
liberum,1,libere,6,2,False,0051.JPG.parsed.txt:2
sione,1,sive,6,2,False,0051.JPG.parsed.txt:6
Jona,1,bona,6,1,False,0051.JPG.parsed.txt:21
leque,2,atque,6,2,False,0051.JPG.parsed.txt:38; 0059.JPG.parsed.txt:7
Consulis,1,Consularis,6,2,False,0052.JPG.parsed.txt:2
idque,2,atque,6,2,False,0052.JPG.parsed.txt:16; 0061.JPG.parsed.txt:7
praefatorum,1,praefato,6,3,False,0052.JPG.parsed.txt:21
Polonicales,1,Polonicalis,6,1,False,0053.JPG.parsed.txt:7
lapideae,2,lapidea,6,1,False,0053.JPG.parsed.txt:8; 0057.JPG.parsed.txt:19
Consularibus,2,Consularis,6,2,False,0053.JPG.parsed.txt:9; 0054.JPG.parsed.txt:36
prefate,1,praefato,6,2,False,0053.JPG.parsed.txt:14
successor,2,Successorum,6,2,False,0053.JPG.parsed.txt:24; 0057.JPG.parsed.txt:34
Florenis,2,Florenos,6,1,False,0053.JPG.parsed.txt:27; 0067.JPG.parsed.txt:30
Consulare,1,Consulari,6,1,False,0053.JPG.parsed.txt:38
successoribusque,1,successoribus,6,3,False,0055.JPG.parsed.txt:11
mente,2,ante,6,2,False,0056.JPG.parsed.txt:33; 0059.JPG.parsed.txt:15
Polonicalium,2,Polonicalis,6,2,False,0056.JPG.parsed.txt:37; 0060.JPG.parsed.txt:16
Consularem,2,Consulari,6,2,False,0057.JPG.parsed.txt:16; 0061.JPG.parsed.txt:25
torum,2,totum,6,1,False,0057.JPG.parsed.txt:20; 0061.JPG.parsed.txt:5
usque,1,atque,6,2,False,0057.JPG.parsed.txt:29
lares,1,partes,6,2,False,0057.JPG.parsed.txt:37
inscribit,1,inscripsit,6,2,False,0058.JPG.parsed.txt:10
sortes,1,partes,6,2,False,0058.JPG.parsed.txt:22
sana,1,bona,6,2,False,0059.JPG.parsed.txt:15
tanae,1,ante,6,2,False,0059.JPG.parsed.txt:35
labore,1,libere,6,2,False,0060.JPG.parsed.txt:2
plerea,1,Platea,6,2,False,0060.JPG.parsed.txt:7
Consulibus,1,Consularis,6,3,False,0060.JPG.parsed.txt:14
loca,1,bona,6,2,False,0060.JPG.parsed.txt:24
vone,1,bona,6,2,False,0060.JPG.parsed.txt:34
sine,1,sive,6,1,False,0060.JPG.parsed.txt:42
autor,1,autem,6,2,False,0061.JPG.parsed.txt:6
habere,2,libere,6,2,False,0061.JPG.parsed.txt:13; 0067.JPG.parsed.txt:11
nona,1,bona,6,1,False,0062.JPG.parsed.txt:2
consultis,1,Consularis,6,2,False,0062.JPG.parsed.txt:3
saltem,1,autem,6,2,False,0062.JPG.parsed.txt:16
liberam,1,libere,6,2,False,0062.JPG.parsed.txt:38
successionibus,1,successoribus,6,2,False,0062.JPG.parsed.txt:39
eamque,1,atque,6,2,False,0062.JPG.parsed.txt:40
antefa,1,ante,6,2,False,0063.JPG.parsed.txt:4
authore,1,Tutore,6,2,False,0063.JPG.parsed.txt:9
Consula,1,Consulari,6,2,False,0063.JPG.parsed.txt:32
testimonii,1,testimonium,6,2,False,0063.JPG.parsed.txt:34
wola,1,bona,6,2,False,0064.JPG.parsed.txt:11
Tutoris,1,Tutore,6,2,False,0064.JPG.parsed.txt:37
Donca,1,bona,6,2,False,0065.JPG.parsed.txt:10
Pana,2,bona,6,2,False,0065.JPG.parsed.txt:22; 0065.JPG.parsed.txt:31
Bozey,1,moiey,6,2,False,0065.JPG.parsed.txt:38
mieć,1,moiey,6,2,True,0066.JPG.parsed.txt:12
liberos,1,libere,6,2,False,0067.JPG.parsed.txt:14
tutor,1,Tutore,6,1,False,0067.JPG.parsed.txt:26
satisfactionem,1,satisfactione,6,1,False,0067.JPG.parsed.txt:29
Iucz,1,iure,6,2,True,0068.JPG.parsed.txt:5
eaque,1,atque,6,2,False,0068.JPG.parsed.txt:19
okna,1,bona,6,2,False,0069.JPG.parsed.txt:5
woda,1,bona,6,2,False,0069.JPG.parsed.txt:38
assumpti,1,assumptum,5,2,False,0005.JPG.parsed.txt:12
zonie,1,bonis,5,2,False,0005.JPG.parsed.txt:31
darem,1,eadem,5,2,False,0005.JPG.parsed.txt:33
żonie,1,bonis,5,2,True,0006.JPG.parsed.txt:3
Consulum,1,coniugum,5,2,False,0006.JPG.parsed.txt:16
Sophia,2,Sophiae,5,1,False,0006.JPG.parsed.txt:29; 0055.JPG.parsed.txt:7
eamdem,1,eadem,5,1,False,0006.JPG.parsed.txt:31
Petrum,1,Petrus,5,1,False,0007.JPG.parsed.txt:2
apud,1,opus,5,2,False,0007.JPG.parsed.txt:3
marcas,2,Mariae,5,2,False,0007.JPG.parsed.txt:4; 0007.JPG.parsed.txt:5
aresto,2,Festo,5,2,False,0007.JPG.parsed.txt:11; 0007.JPG.parsed.txt:15
Quietatio,2,quietauit,5,2,False,0007.JPG.parsed.txt:21; 0067.JPG.parsed.txt:23
secundarum,2,secunda,5,3,False,0007.JPG.parsed.txt:24; 0051.JPG.parsed.txt:17
maritum,2,mariti,5,2,False,0007.JPG.parsed.txt:25; 0051.JPG.parsed.txt:19
ctus,1,opus,5,2,False,0049.JPG.parsed.txt:25
domus,2,domu,5,1,False,0049.JPG.parsed.txt:33; 0049.JPG.parsed.txt:35
ctione,1,Ratione,5,2,False,0050.JPG.parsed.txt:3
scriptioni,1,inscriptionis,5,3,False,0050.JPG.parsed.txt:12
Festa,1,Festo,5,1,False,0050.JPG.parsed.txt:14
Bartel,1,parte,5,2,False,0050.JPG.parsed.txt:16
secun,1,secunda,5,2,False,0050.JPG.parsed.txt:23
Fasso,1,Festo,5,2,False,0050.JPG.parsed.txt:26
ginta,1,sita,5,2,False,0050.JPG.parsed.txt:28
realem,2,eadem,5,2,False,0050.JPG.parsed.txt:29; 0052.JPG.parsed.txt:14
sitam,2,sita,5,1,False,0050.JPG.parsed.txt:32; 0058.JPG.parsed.txt:13
nobis,2,bonis,5,2,False,0051.JPG.parsed.txt:10; 0061.JPG.parsed.txt:28
secundo,2,secunda,5,1,False,0052.JPG.parsed.txt:11; 0060.JPG.parsed.txt:18
Woynarz,1,Woynar,5,1,True,0052.JPG.parsed.txt:23
relictam,2,relicta,5,1,False,0052.JPG.parsed.txt:31; 0067.JPG.parsed.txt:13
proximum,2,proxime,5,2,False,0053.JPG.parsed.txt:18; 0061.JPG.parsed.txt:16
Quietacio,1,quietauit,5,2,False,0053.JPG.parsed.txt:21
Patrui,1,Petrus,5,2,False,0053.JPG.parsed.txt:24
actione,2,Ratione,5,2,False,0053.JPG.parsed.txt:38; 0054.JPG.parsed.txt:9
octo,1,ACTA,5,2,False,0054.JPG.parsed.txt:12
Festi,1,Festo,5,1,False,0055.JPG.parsed.txt:1
relictae,2,relicta,5,1,False,0055.JPG.parsed.txt:5; 0067.JPG.parsed.txt:27
viduae,2,vidua,5,1,False,0055.JPG.parsed.txt:5; 0068.JPG.parsed.txt:35
quietavit,1,quietauit,5,1,False,0055.JPG.parsed.txt:8
fecerit,2,fecit,5,2,False,0055.JPG.parsed.txt:34; 0058.JPG.parsed.txt:32
Zophia,1,Sophiae,5,2,False,0056.JPG.parsed.txt:2
assionis,1,cessionis,5,2,False,0056.JPG.parsed.txt:7
tione,1,Ratione,5,2,False,0056.JPG.parsed.txt:18
Dominorum,1,Dominum,5,2,False,0057.JPG.parsed.txt:20
plenariam,1,plenarie,5,2,False,0057.JPG.parsed.txt:29
Quiettatio,1,quietauit,5,3,False,0057.JPG.parsed.txt:31
festes,1,Festo,5,2,False,0057.JPG.parsed.txt:35
plenaria,1,plenarie,5,1,False,0058.JPG.parsed.txt:1
Ludo,1,modo,5,2,False,0058.JPG.parsed.txt:20
vsus,1,opus,5,2,False,0058.JPG.parsed.txt:21
seus,1,opus,5,2,False,0058.JPG.parsed.txt:32
Advocatiali,1,Advocati,5,3,False,0059.JPG.parsed.txt:20
amen,1,tamen,5,1,False,0059.JPG.parsed.txt:25
rationis,1,Ratione,5,2,False,0059.JPG.parsed.txt:31
vita,2,sita,5,1,False,0059.JPG.parsed.txt:38; 0060.JPG.parsed.txt:36
acsi,1,ACTA,5,2,False,0060.JPG.parsed.txt:9
acco,1,ACTA,5,2,False,0060.JPG.parsed.txt:10
modat,1,modo,5,2,False,0060.JPG.parsed.txt:11
rationem,1,Ratione,5,1,False,0060.JPG.parsed.txt:14
secundam,1,secunda,5,1,False,0060.JPG.parsed.txt:15
sionis,1,bonis,5,2,False,0060.JPG.parsed.txt:23
wody,1,modo,5,2,False,0060.JPG.parsed.txt:30
loci,2,locum,5,2,False,0060.JPG.parsed.txt:31; 0061.JPG.parsed.txt:33
locis,1,locum,5,2,False,0060.JPG.parsed.txt:31
usus,1,opus,5,2,False,0060.JPG.parsed.txt:32
coniugu,1,coniugum,5,1,False,0060.JPG.parsed.txt:35
Osnoski,1,Osmolski,5,2,False,0060.JPG.parsed.txt:39
cujus,1,cuius,5,1,False,0060.JPG.parsed.txt:41
Melchior,1,Melchioris,5,2,False,0061.JPG.parsed.txt:3
servatione,1,Ratione,5,3,False,0061.JPG.parsed.txt:9
Patris,2,Petrus,5,2,False,0061.JPG.parsed.txt:33; 0061.JPG.parsed.txt:34
socium,1,locum,5,2,False,0061.JPG.parsed.txt:35
professionem,2,possessionem,5,3,False,0062.JPG.parsed.txt:3; 0062.JPG.parsed.txt:34
locorum,1,locum,5,2,False,0062.JPG.parsed.txt:11
avia,1,ACTA,5,2,False,0062.JPG.parsed.txt:12
catione,1,Ratione,5,1,False,0062.JPG.parsed.txt:17
inscriptioni,1,inscriptionis,5,1,False,0062.JPG.parsed.txt:26
Eaem,1,eadem,5,1,False,0062.JPG.parsed.txt:30
scitu,1,sita,5,2,False,0062.JPG.parsed.txt:37
motus,1,opus,5,2,False,0063.JPG.parsed.txt:2
Fratrem,2,Frater,5,2,False,0063.JPG.parsed.txt:15; 0063.JPG.parsed.txt:16
Dominam,1,Dominum,5,1,False,0063.JPG.parsed.txt:16
occa,1,ACTA,5,2,False,0064.JPG.parsed.txt:29
viduam,1,vidua,5,1,False,0064.JPG.parsed.txt:35
Ista,1,ACTA,5,2,False,0065.JPG.parsed.txt:1
dauiae,1,Mariae,5,2,False,0065.JPG.parsed.txt:13
petens,1,Petrus,5,2,False,0065.JPG.parsed.txt:14
casus,1,cuius,5,2,False,0065.JPG.parsed.txt:15
Stanisławem,2,Stanislaum,5,3,True,0065.JPG.parsed.txt:33; 0065.JPG.parsed.txt:36
roku,1,domu,5,2,False,0065.JPG.parsed.txt:36
szwa,1,sita,5,2,True,0066.JPG.parsed.txt:2
bratem,1,Frater,5,2,False,0066.JPG.parsed.txt:3
stwa,1,sita,5,2,False,0066.JPG.parsed.txt:12
lecta,1,ACTA,5,2,False,0066.JPG.parsed.txt:20
testi,2,Festo,5,2,False,0066.JPG.parsed.txt:25; 0067.JPG.parsed.txt:7
tamten,1,tamen,5,1,False,0066.JPG.parsed.txt:35
affinium,1,Officium,5,2,False,0067.JPG.parsed.txt:4
monij,1,bonis,5,2,False,0067.JPG.parsed.txt:8
successionis,1,cessionis,5,3,False,0067.JPG.parsed.txt:16
proximo,1,proxime,5,1,False,0067.JPG.parsed.txt:21
sessionis,1,cessionis,5,1,False,0068.JPG.parsed.txt:16
cita,1,sita,5,1,False,0068.JPG.parsed.txt:16
Jacobo,2,Jacobi,4,1,False,0003.JPG.parsed.txt:10; 0053.JPG.parsed.txt:31
Alberto,1,Albertus,4,2,False,0003.JPG.parsed.txt:11
Wengr,1,TENOR,4,2,False,0003.JPG.parsed.txt:13
